,airport-id,latitude,longitude,City,State,AirportName
3,AAF,29.7275,-85.0274,Apalachicola, FL, Apalachicola Regional Cleve Randolph Field
17,ABE,40.6521,-75.4408,Allentown/Bethlehem/Easton, PA, Lehigh Valley International
19,ABI,32.4113,-99.6819,Abilene, TX, Abilene Regional
22,ABL,67.1063,-157.8575,Ambler, AK, Ambler River
24,ABQ,35.0402,-106.6092,Albuquerque, NM, Albuquerque International Sunport
25,ABR,45.449,-98.4218,Aberdeen, SD, Aberdeen Regional
31,ABY,31.5369,-84.1945,Albany, GA, Southwest Georgia Regional
38,ACK,41.2531,-70.0602,Nantucket, MA, Nantucket Memorial
41,ACT,31.6113,-97.2305,Waco, TX, Waco Regional
43,ACV,40.9781,-124.1086,Arcata/Eureka, CA, Arcata
45,ACY,39.4576,-74.5772,Atlantic City, NJ, Atlantic City International
54,ADK,51.878,-176.646,Adak Island, AK, Adak
57,ADQ,57.75,-152.4939,Kodiak, AK, Kodiak Airport
58,ADS,32.9697,-96.8386,Dallas, TX, Addison
60,ADW,38.8108,-76.867,Camp Springs, MD, Joint Base Andrews
70,AET,66.5518,-152.6222,Allakaket, AK, Allakaket Airport
72,AEX,31.3274,-92.5486,Alexandria, LA, Alexandria International
79,AFW,32.9876,-97.3188,Dallas/Fort Worth, TX, Fort Worth Alliance
84,AGC,40.3544,-79.9302,Pittsburgh, PA, Allegheny County
89,AGN,57.5036,-134.5851,Angoon, AK, Angoon Seaplane Base
93,AGS,33.3367,-81.9645,Augusta, GA, Augusta Regional at Bush Field
102,AHN,33.9486,-83.3263,Athens, GA, Athens/Ben Epps
106,AIA,42.0532,-102.8037,Alliance, NE, Alliance Municipal
108,AID,40.1087,-85.613,Anderson, IN, Anderson Municipal-Darlington Field
111,AIN,70.638,-159.9948,Wainwright, AK, Wainwright Airport
125,AKB,52.2203,-174.2063,Atka, AK, Atka Airport
126,AKC,41.0375,-81.4669,Akron, OH, Akron Fulton International
130,AKI,60.9029,-161.2306,Akiak, AK, Akiak Airport
132,AKK,56.9387,-154.1826,Akhiok, AK, Akhiok Airport
134,AKN,58.6768,-156.6492,King Salmon, AK, King Salmon Airport
135,AKP,68.1336,-151.7433,Anaktuvuk Pass, AK, Anaktuvuk Pass Airport
144,ALB,42.7483,-73.8017,Albany, NY, Albany International
149,ALI,27.7417,-98.0267,Alice, TX, Alice International
152,ALM,32.8399,-105.9906,Alamogordo, NM, Alamogordo White Sands Regional
153,ALN,38.89,-90.0467,Alton, IL, St. Louis Regional
154,ALO,42.5572,-92.4033,Waterloo, IA, Waterloo Regional
157,ALS,37.4349,-105.8666,Alamosa, CO, San Luis Valley Regional/Bergman Field
158,ALW,46.0946,-118.2879,Walla Walla, WA, Walla Walla Regional
160,ALZ,56.8958,-154.2458,Lazy Bay, AK, Alitak Seaplane Base
161,AMA,35.2194,-101.7059,Amarillo, TX, Rick Husband Amarillo International
172,ANB,33.5881,-85.8581,Anniston, AL, Anniston Regional
173,ANC,61.1744,-149.9964,Anchorage, AK, Ted Stevens Anchorage International
174,AND,34.495,-82.7097,Anderson, SC, Anderson Regional
178,ANI,61.5816,-159.543,Aniak, AK, Aniak Airport
182,ANN,55.0425,-131.5722,Annette, AK, Annette Island
187,ANV,62.6467,-160.1907,Anvik, AK, Anvik Airport
197,AOO,40.2964,-78.32,Altoona, PA, Altoona-Blair County
200,AOS,57.4667,-153.8333,Amook Bay, AK, Amook Bay Airport
204,APA,39.5701,-104.8493,Denver, CO, Centennial
205,APC,38.2131,-122.2806,Napa, CA, Napa County
206,APF,26.1526,-81.7753,Naples, FL, Naples Municipal
207,APG,39.4662,-76.1688,Aberdeen, MD, Phillips AAF
211,APN,45.0781,-83.5603,Alpena, MI, Alpena County Regional
215,APV,34.5753,-117.1862,Apple Valley, CA, Apple Valley Airport
223,ARA,30.0378,-91.8839,New Iberia, LA, Acadiana Regional
224,ARC,68.1147,-145.5794,Arctic Village, AK, Arctic Village Airport
232,ART,43.9919,-76.0217,Watertown, NY, Watertown International
234,ARV,45.9279,-89.7309,Minocqua/Woodruff, WI, Lakeland/Noble F. Lee Memorial Field
240,ASE,39.2232,-106.8688,Aspen, CO, Aspen Pitkin County Sardy Field
250,AST,44.8373,-117.8075,Astoria/Seaside, OR, Astoria Regional
260,ATK,70.4673,-157.4357,Atqasuk, AK, Atqasuk Edward Burnell Sr. Memorial
261,ATL,33.6367,-84.4281,Atlanta, GA, Hartsfield-Jackson Atlanta International
266,ATT,60.8667,-162.2731,Atmautluak, AK, Atmautluak Airport
267,ATW,44.2581,-88.5191,Appleton, WI, Appleton International
268,ATY,44.914,-97.1547,Watertown, SD, Watertown Regional
273,AUG,44.32,-69.7967,Augusta/Waterville, ME, Augusta State
275,AUK,62.68,-164.6599,Alakanuk, AK, Alakanuk Airport
279,AUS,30.195,-97.67,Austin, TX, Austin - Bergstrom International
281,AUW,44.9285,-89.6266,Wausau, WI, Wausau Downtown
287,AVL,35.4367,-82.5417,Asheville, NC, Asheville Regional
289,AVP,41.3384,-75.7234,Scranton/Wilkes-Barre, PA, Wilkes Barre Scranton International
296,AWK,19.2819,166.6386,Wake Island, TT, Wake Island Airfield
304,AXN,45.8663,-95.3947,Alexandria, MN, Chandler Field
313,AYS,31.2491,-82.3955,Waycross, GA, Waycross-Ware County
315,AZA,33.3078,-111.6555,Phoenix, AZ, Phoenix - Mesa Gateway
319,AZO,42.2349,-85.5521,Kalamazoo, MI, Kalamazoo/Battle Creek International
322,BAB,39.1362,-121.4365,Marysville, CA, Beale AFB
323,BAD,32.5018,-93.6627,Shreveport, LA, Barksdale AFB
324,BAF,42.1575,-72.7158,Westfield, MA, Westfield Barnes Regional
328,BAM,40.599,-116.8743,Battle Mountain, NV, Battle Mountain Airport
330,BAR,19.0826,110.2732,Baker Island, AK, Baker AAF
351,BBW,41.4367,-99.6417,Broken Bow, NE, Broken Bow Municipal Keith Glaze Field
361,BCT,26.3784,-80.1076,Boca Raton, FL, Boca Raton Public
368,BDE,48.7284,-94.6122,Baudette, MN, Baudette International
371,BDL,41.9389,-72.6832,Hartford, CT, Bradley International
376,BDR,41.1607,-73.1245,Bridgeport, CT, Igor I Sikorsky Memorial
381,BED,42.47,-71.29,Bedford, MA, Laurence G Hanscom Field
389,BET,60.7798,-161.838,Bethel, AK, Bethel Airport
395,BFD,41.803,-78.6402,Bradford, PA, Bradford Regional
396,BFF,41.874,-103.5956,Scottsbluff, NE, Western Neb. Regional/William B. Heilig Field
397,BFI,47.53,-122.302,Seattle, WA, Boeing Field/King County International
399,BFL,35.4333,-119.0567,Bakersfield, CA, Meadows Field
400,BFM,30.6267,-88.0681,Mobile, AL, Mobile Downtown
403,BFP,40.7725,-80.3915,Beaver Falls, PA, Beaver County
413,BGM,42.2087,-75.9731,Binghamton, NY, Greater Binghamton/Edwin A. Link Field
416,BGR,44.8074,-68.8281,Bangor, ME, Bangor International
422,BHB,44.4498,-68.3616,Bar Harbor, ME, Hancock County-Bar Harbor
430,BHM,33.5629,-86.7535,Birmingham, AL, Birmingham-Shuttlesworth International
440,BIC,57.66,-157.58,Big Creek, AK, Big Creek Airport
441,BID,41.1681,-71.5778,Block Island, RI, Block Island State
442,BIE,40.3017,-96.7533,Beatrice, NE, Beatrice Municipal
443,BIF,31.8495,-106.38,El Paso, TX, Biggs AAF
444,BIG,63.9945,-145.7216,Big Delta, AK, Allen AAF
445,BIH,37.3731,-118.3636,Bishop, CA, Bishop Airport
448,BIL,45.8077,-108.5429,Billings, MT, Billings Logan International
454,BIS,46.774,-100.7467,Bismarck/Mandan, ND, Bismarck Municipal
456,BIX,30.4113,-88.9236,Biloxi, MS, Keesler AFB
460,BJC,39.9083,-105.1167,Broomfield, CO, Rocky Mountain Metro
462,BJI,47.5094,-94.9337,Bemidji, MN, Bemidji Regional
474,BKC,65.9816,-161.1491,Buckland, AK, Buckland Airport
475,BKE,44.8373,-117.8091,Baker, OR, Baker City Municipal
476,BKF,39.7017,-104.7517,Brooks Lake, AK, Brooks Lake Airport
477,BKG,36.5321,-93.2005,Branson, MO, Branson Airport
480,BKL,41.525,-81.6833,Cleveland, OH, Burke Lakefront
485,BKW,37.7867,-81.1244,Beckley, WV, Raleigh County Memorial
490,BLD,35.9475,-114.8611,Boulder City, NV, Boulder City Municipal
492,BLF,37.2958,-81.2077,Princeton/Bluefield, WV, Mercer County
493,BLH,33.6192,-114.7168,Blythe, CA, Blythe Airport
494,BLI,48.7927,-122.5375,Bellingham, WA, Bellingham International
501,BLV,38.5452,-89.8352,Belleville, IL, Scott AFB/MidAmerica
505,BMC,41.5524,-112.0622,Brigham City, UT, Brigham City Airport
508,BMI,40.4767,-88.9167,Bloomington/Normal, IL, Central Illinois Regional
515,BNA,36.1245,-86.6782,Nashville, TN, Nashville International
524,BNO,43.5919,-118.9554,Burns, OR, Burns Municipal
535,BOI,43.5644,-116.2228,Boise, ID, Boise Air Terminal
541,BOS,42.3643,-71.0052,Boston, MA, Logan International
551,BPI,42.5851,-110.1112,Big Piney, WY, Miley Memorial Field
556,BPT,29.9508,-94.0207,Beaumont/Port Arthur, TX, Jack Brooks Regional
564,BQK,31.2588,-81.4665,Brunswick, GA, Brunswick Golden Isles
566,BQN,18.4948,-67.1295,Aguadilla, PR, Rafael Hernandez
573,BRD,46.3983,-94.1381,Brainerd, MN, Brainerd Lakes Regional
577,BRL,40.7832,-91.1255,Burlington, IA, Southeast Iowa Regional
580,BRO,25.9068,-97.4259,Brownsville, TX, Brownsville South Padre Island International
587,BRW,71.2854,-156.766,Barrow, AK, Wiley Post/Will Rogers Memorial
602,BSZ,58.2336,-157.3503,Bartletts, AK, Bartletts Airport
605,BTI,70.134,-143.5819,Barter Island, AK, Barter Island Airport
608,BTL,42.3075,-85.2517,Battle Creek, MI, W K Kellogg
609,BTM,45.9548,-112.4975,Butte, MT, Bert Mooney
610,BTR,30.5331,-91.1496,Baton Rouge, LA, Baton Rouge Metropolitan/Ryan Field
612,BTT,66.9139,-151.529,Bettles, AK, Bettles Airport
614,BTV,44.4718,-73.1532,Burlington, VT, Burlington International
620,BUF,42.9405,-78.7322,Buffalo, NY, Buffalo Niagara International
628,BUR,34.2006,-118.3587,Burbank, CA, Bob Hope
645,BVY,42.5842,-70.9165,Beverly, MA, Beverly Municipal
649,BWG,36.9645,-86.4197,Bowling Green, KY, Bowling Green-Warren County Regional
651,BWI,39.1754,-76.6683,Baltimore, MD, Baltimore/Washington International Thurgood Marshall
667,BYH,35.9643,-89.944,Blytheville, AR, Arkansas International
668,BYI,42.5433,-113.7717,Burley/Rupert, ID, Burley Municipal
684,BZN,45.7775,-111.153,Bozeman, MT, Bozeman Yellowstone International
693,CAE,33.9387,-81.1195,Columbia, SC, Columbia Metropolitan
699,CAK,40.916,-81.4421,Akron, OH, Akron-Canton Regional
704,CAR,46.8714,-68.0178,Caribou, ME, Caribou Municipal
740,CDB,55.2061,-162.7238,Cold Bay, AK, Cold Bay Airport
741,CDC,37.701,-113.0988,Cedar City, UT, Cedar City Regional
744,CDH,33.6233,-92.7633,Camden, AR, Harrell Field
748,CDR,42.8376,-103.0953,Chadron, NE, Chadron Municipal
752,CDV,60.4917,-145.4775,Cordova, AK, Merle K Mudhole Smith
753,CDW,40.8752,-74.2814,Caldwell, NJ, Essex County
755,CEC,41.7796,-124.2409,Crescent City, CA, Jack McNamara Field
758,CEF,42.194,-72.5348,Chicopee Falls, MA, Westover ARB Metropolitan
762,CEM,65.5739,-144.7809,Central, AK, Central Airport
768,CEW,30.7788,-86.5221,Crestview, FL, Bob Sikes
769,CEZ,37.303,-108.6281,Cortez, CO, Cortez Municipal
770,CFA,58.22,-157.5,Coffee Point, AK, Coffee Point Airport
781,CGA,55.4788,-133.1478,Craig, AK, Craig Seaplane Base
785,CGI,37.2253,-89.5708,Cape Girardeau, MO, Cape Girardeau Regional
794,CHA,35.0353,-85.2038,Chattanooga, TN, Lovell Field
801,CHO,38.1386,-78.4529,Charlottesville, VA, Charlottesville Albemarle
804,CHS,32.8986,-80.0405,Charleston, SC, Charleston AFB/International
806,CHU,61.5791,-159.2156,Chuathbaluk, AK, Chuathbaluk Airport
810,CIC,39.7954,-121.8584,Chico, CA, Chico Municipal
811,CID,41.8847,-91.7108,Cedar Rapids/Iowa City, IA, The Eastern Iowa
813,CIG,40.495,-107.5214,Craig, CO, Craig-Moffat
816,CIK,66.645,-143.7399,Chalkyitsik, AK, Chalkyitsik Airport
817,CIN,37.5939,-83.3172,Carroll, IA, Arthur N Neu
821,CIU,46.2508,-84.4724,Sault Ste. Marie, MI, Chippewa County International
836,CKB,39.2966,-80.2281,Clarksburg/Fairmont, WV, North Central West Virginia
838,CKD,61.8679,-158.1349,Crooked Creek, AK, Crooked Creek Airport
845,CKX,64.0713,-141.9523,Chicken, AK, Chicken Airport
849,CLD,33.1283,-117.28,Carlsbad, CA, McClellan-Palomar
850,CLE,41.4117,-81.8498,Cleveland, OH, Cleveland-Hopkins International
851,CLI,44.6133,-88.7317,Clintonville, WI, Clintonville Municipal
853,CLL,30.5885,-96.3637,College Station/Bryan, TX, Easterwood Field
854,CLM,48.1202,-123.4997,Port Angeles, WA, William R. Fairchild International
857,CLP,58.8337,-158.5294,Clarks Point, AK, Clarks Point Airport
859,CLT,35.214,-80.9431,Charlotte, NC, Charlotte Douglas International
860,CLU,39.2617,-85.8967,Columbus, IN, Columbus Municipal
870,CMH,39.998,-82.8919,Columbus, OH, Port Columbus International
871,CMI,40.0393,-88.2781,Champaign/Urbana, IL, University of Illinois/Willard
880,CMX,47.1683,-88.4883,Hancock/Houghton, MI, Houghton County Memorial
887,CNK,39.5493,-97.6523,Concordia, KS, Blosser Municipal
889,CNM,32.3383,-104.2633,Carlsbad, NM, Cavern City Air Terminal
896,CNW,31.6378,-97.074,Waco, TX, TSTC Waco
898,CNY,38.755,-109.7548,Moab, UT, Canyonlands Field
900,COD,44.5202,-109.0238,Cody, WY, Yellowstone Regional
901,COE,47.7743,-116.8196,Coeur d'Alene, ID, Coeur d'Alene - Pappy Boyington Field
902,COF,28.2349,-80.6101,Cocoa Beach, FL, Patrick AFB
908,CON,43.2033,-71.5017,Concord, NH, Concord Municipal
912,COS,38.8058,-104.7002,Colorado Springs, CO, City of Colorado Springs Municipal
913,COT,28.4567,-99.2183,Cotulla, TX, Cotulla-La Salle County
914,COU,38.8183,-92.22,Columbia, MO, Columbia Regional
923,CPR,42.9079,-106.4643,Casper, WY, Casper/Natrona County International
926,CPX,18.3048,-65.1816,Culebra, PR, Benjamin Rivera Noriega
934,CRE,33.8118,-78.7239,Myrtle Beach, SC, Grand Strand
939,CRP,27.7704,-97.5012,Corpus Christi, TX, Corpus Christi International
941,CRS,45.4203,22.2522,Corsicana, TX, C David Campbell Field-Corsicana Municipal
944,CRW,38.3732,-81.5932,Charleston/Dunbar, WV, Yeager
948,CSG,32.5163,-84.9389,Columbus, GA, Columbus Airport
952,CSM,35.34,-99.2,Clinton, OK, Clinton Sherman
954,CSV,35.9513,-85.085,Crossville, TN, Crossville Memorial-Whitson Field
958,CTB,48.6083,-112.3761,Cut Bank, MT, Cut Bank International
966,CTO,40.9067,-72.7917,Calverton, NY, Calverton Executive Airpark
970,CTY,29.635,-83.105,Cross City, FL, Cross City Airport
971,CTZ,34.975,-78.3656,Clinton, NC, Clinton Sampson County
987,CVG,39.0488,-84.6678,Cincinnati, OH, Cincinnati/Northern Kentucky International
990,CVN,34.4251,-103.0793,Clovis, NM, Clovis Municipal
992,CVS,34.3995,-103.3222,Clovis, NM, Cannon AFB
995,CWA,44.7776,-89.6668,Mosinee, WI, Central Wisconsin
998,CWF,30.2133,-93.1433,Lake Charles, LA, Chennault International
1005,CXF,67.2522,-150.2039,Coldfoot, AK, Coldfoot Airport
1014,CYF,60.1492,-164.2856,Chefornak, AK, Chefornak Airport
1019,CYS,41.1557,-104.8118,Cheyenne, WY, Cheyenne Regional/Jerry Olson Field
1026,CZF,61.7809,-166.0395,Cape Romanzof, AK, Cape Romanzof Airport
1031,CZN,62.0712,-142.0484,Chisana, AK, Chisana Airport
1036,DAB,29.1798,-81.0581,Daytona Beach, FL, Daytona Beach International
1039,DAG,34.8537,-116.7867,Daggett, CA, Barstow/Daggett
1041,DAL,32.847,-96.8517,Dallas, TX, Dallas Love Field
1043,DAN,36.5729,-79.3361,Danville, VA, Danville Regional
1049,DAY,39.9024,-84.2194,Dayton, OH, James M Cox/Dayton International
1054,DBQ,42.402,-90.7095,Dubuque, IA, Dubuque Regional
1058,DCA,38.8521,-77.0377,Washington, DC, Ronald Reagan Washington National
1064,DDC,37.7634,-99.9656,Dodge City, KS, Dodge City Regional
1069,DEC,39.8347,-88.8663,Decatur, IL, Decatur Airport
1074,DEN,39.8617,-104.6732,Denver, CO, Denver International
1075,DET,42.4092,-83.0099,Detroit, MI, Coleman A. Young Municipal
1078,DFW,32.8968,-97.038,Dallas/Fort Worth, TX, Dallas/Fort Worth International
1085,DHB,48.616,-123.0,Deer Harbor, WA, Deer Harbor Marina
1089,DHN,31.3213,-85.4497,Dothan, AL, Dothan Regional
1091,DHT,36.0226,-102.5473,Dalhart, TX, Dalhart Municipal
1096,DIK,46.7967,-102.8017,Dickinson, ND, Dickinson - Theodore Roosevelt Regional
1099,DIO,65.7586,-168.9531,Diomede Island, AK, Diomede Heliport
1117,DLF,29.3595,-100.778,Del Rio, TX, Laughlin AFB
1118,DLG,59.0446,-158.5054,Dillingham, AK, Dillingham Airport
1119,DLH,46.8421,-92.1936,Duluth, MN, Duluth International
1122,DLS,45.6185,-121.1673,The Dalles, OR, Columbia Gorge Regional/The Dalles Municipal
1126,DMA,32.1665,-110.8832,Tucson, AZ, Davis Monthan AFB
1132,DMN,32.2623,-107.7206,Deming, NM, Deming Municipal
1141,DNV,40.1992,-87.5959,Danville, IL, Vermilion Regional
1153,DOV,39.1295,-75.4659,Dover, DE, Dover AFB
1155,DPA,41.9067,-88.2483,Chicago, IL, Du Page County
1161,DRA,36.6194,-116.0328,Mercury, NV, Desert Rock
1163,DRG,66.0696,-162.7664,Deering, AK, Deering Airport
1165,DRO,37.1517,-107.7533,Durango, CO, Durango La Plata County
1167,DRT,29.3742,-100.9272,Del Rio, TX, Del Rio International
1173,DSM,41.5341,-93.6506,Des Moines, IA, Des Moines International
1181,DTW,42.2124,-83.3534,Detroit, MI, Detroit Metro Wayne County
1183,DUC,34.4709,-97.9599,Duncan, OK, Halliburton Field
1186,DUG,31.4727,-109.6021,Douglas, AZ, Bisbee Douglas International
1187,DUJ,41.1783,-78.8983,DuBois, PA, DuBois Regional
1191,DUT,53.9,-166.5435,Unalaska, AK, Unalaska Airport
1194,DVL,48.1142,-98.9088,Devils Lake, ND, Devils Lake Regional
1203,DYS,32.4222,-99.8597,Abilene, TX, Dyess AFB
1208,EAA,64.7781,-141.1496,Eagle, AK, Eagle Airport
1212,EAR,40.7238,-99.0068,Kearney, NE, Kearney Regional
1214,EAT,47.3984,-120.2062,Wenatchee, WA, Pangborn Memorial
1215,EAU,44.8658,-91.4843,Eau Claire, WI, Chippewa Valley Regional
1225,ECA,-50.2803,-72.0532,East Tawas, MI, Iosco County
1226,ECG,36.2606,-76.1746,Elizabeth City, NC, Elizabeth City CGAS/Regional
1229,ECP,30.3582,-85.7956,Panama City, FL, Northwest Florida Beaches International
1230,EDA,55.954,-133.658,Edna Bay, AK, Edna Bay Airport
1232,EDF,61.2531,-149.7939,Anchorage, AK, Elmendorf AFB
1238,EDW,34.9054,-117.8837,Edwards, CA, Edwards AFB
1239,EED,34.7667,-114.6233,Needles, CA, Needles Airport
1240,EEK,60.2184,-162.0235,Eek, AK, Eek Airport
1241,EFD,29.6073,-95.1587,Houston, TX, Ellington
1246,EGE,39.6425,-106.9176,Eagle, CO, Eagle County Regional
1251,EGV,45.9323,-89.2683,Eagle River, WI, Eagle River Union
